	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
1700041I07Rik	1	1	0	4	3	0	0	2	1	2	3	2	1
1700041M05Rik	2	0	0	0	0	0	0	0	0	0	2	0	0
1700041M19Rik	5	4	7	16	11	2	7	4	6	4	17	12	12
1700042D02Rik	6	7	1	4	6	3	3	4	1	3	1	1	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	1	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	1	0	0	0	0	0	0	2	0
1700045I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	1	0	0	0	0	2	0	0
1700047A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047F07Rik	2	0	0	2	5	0	7	0	2	2	0	1	0
1700047G03Rik	6	10	11	18	8	10	14	9	12	9	9	2	3
1700047G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	1	0	0	1	1	0	0	0	1	0	0
1700047K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	11	27	17	18	17	16	5	12	13	22	10	6	10
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	1	0	0	0	0	1	2	0	0	1
1700048M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048O20Rik	1	2	1	2	1	2	5	3	8	5	0	1	3
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	2	0	1	0	0	0	0	0	0	0	0	0
1700049J03Rik	15	6	4	16	3	5	6	5	9	26	6	5	9
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051K13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051O22Rik	2	3	1	1	0	0	0	2	1	1	4	1	2
1700052H01Rik	0	0	0	1	0	1	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	1	0	0	0	0	0	0	0	0
1700052K11Rik	15	27	25	40	22	23	24	32	29	40	50	38	39
1700054A03Rik	0	1	0	1	0	0	5	0	0	0	0	0	0
1700054K02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054O19Rik	1	1	2	0	0	0	0	1	2	3	5	1	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055D18Rik	38	39	38	44	20	30	31	62	34	63	75	61	67
1700056E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056N10Rik	86	238	174	187	184	166	82	156	195	226	353	315	207
1700057G04Rik	1	0	0	1	1	4	2	1	5	5	0	0	0
1700057H15Rik	1	0	0	0	0	0	0	1	0	2	2	0	1
1700057H21Rik	0	0	0	0	0	0	2	0	0	0	2	0	0
1700058P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C16Rik	2	0	0	1	0	0	0	1	0	0	0	0	4
1700060C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060O08Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
1700061E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0	1	0	0
1700061G19Rik	51	375	270	146	208	230	82	247	270	222	456	433	206
1700061H18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	1	0	0	0	0	0	0	1	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	1	1	0	0
1700061N14Rik	0	0	0	0	0	0	0	0	0	0	1	0	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	12	5	2	19	9	8	13	7	4	30	3	2	7
1700063H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	165	299	193	161	127	119	146	326	84	206	161	85	99
1700064J06Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1700064M15Rik	71	27	16	93	6	16	84	4	10	87	5	1	11
1700065D16Rik	64	25	57	133	23	64	92	47	40	103	9	8	35
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065L07Rik	0	1	0	0	0	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
1700066B17Rik	19	43	46	21	30	36	22	63	46	13	15	1	10
1700066B19Rik	45	123	61	59	114	126	63	242	95	87	170	88	119
1700066C05Rik	0	0	0	1	0	0	0	0	1	1	1	0	0
1700066J03Rik	10	4	1	15	2	1	10	2	2	16	2	4	4
1700066M21Rik	227	254	226	560	280	238	275	262	185	505	292	231	391
1700066N21Rik	0	0	0	0	0	0	0	0	0	1	1	0	0
1700066O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	24	18	22	55	16	23	40	30	17	68	49	44	86
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069B07Rik	28	17	13	23	2	14	28	13	7	57	31	12	30
1700069L16Rik	2	2	1	4	0	1	0	1	1	2	0	0	4
1700069P05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072G22Rik	6	4	13	13	2	17	6	0	15	13	5	4	4
1700072O05Rik	1	0	0	1	0	0	0	0	0	2	1	0	0
1700073E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074A21Rik	0	1	2	2	0	4	4	1	0	0	1	2	0
1700074H08Rik	0	2	0	1	4	1	0	1	0	8	2	8	10
1700074P13Rik	0	0	0	0	0	0	0	0	1	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	2	0	0
1700080G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700082M22Rik	19	33	15	23	30	23	16	31	25	28	51	55	27
1700083H02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084C06Rik	127	340	259	278	296	348	194	342	320	439	748	620	494
1700084E18Rik	20	13	32	27	10	24	19	14	24	49	34	39	31
1700084F23Rik	0	0	1	3	0	0	0	1	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
1700086O06Rik	142	78	76	249	96	93	168	107	135	420	285	284	489
1700086P04Rik	8	5	14	11	11	14	7	8	18	40	8	18	49
1700088E04Rik	7	35	33	18	33	24	4	32	32	22	38	20	11
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C17Rik	9	3	7	9	17	3	2	6	5	8	37	35	13
1700092E19Rik	0	0	0	0	0	1	0	0	0	0	1	0	0
1700092K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	0	0	1	0	0	0	0	0	0	0	0	1	0
1700093J21Rik	17	116	103	27	85	58	25	100	107	47	281	190	47
1700093K21Rik	2	1	2	1	6	0	1	1	0	4	2	1	4
1700094J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700094M23Rik	0	15	8	6	34	7	1	30	3	7	22	8	2
1700094M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095A13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095J03Rik	1	0	0	3	1	0	1	0	0	0	0	0	1
1700095J07Rik	6	3	7	1	4	7	1	3	8	8	3	5	4
1700095J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095K22Rik	0	0	0	0	0	1	0	0	0	0	0	0	0
1700096J18Rik	0	26	18	6	35	17	1	50	17	8	28	14	4
1700096K18Rik	20	104	59	29	37	61	44	83	71	52	101	85	46
1700097M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700097N02Rik	78	177	171	129	111	233	99	240	221	162	334	523	261
1700099I09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700101I11Rik	4	1	2	20	0	3	19	0	2	13	0	3	17
1700101I19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700101O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700102F20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700102P08Rik	52	188	115	113	126	125	57	189	229	147	184	133	103
1700104B16Rik	5	7	5	8	7	8	8	17	3	11	3	0	0
1700105P06Rik	6	10	3	3	7	1	5	7	2	6	16	8	7
1700108F19Rik	0	0	0	1	0	0	0	1	1	0	0	1	0
1700108J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700108N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700108N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700109G14Rik	0	2	2	0	3	5	0	1	4	6	7	3	1
1700109G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700109H08Rik	679	1670	1274	2002	1698	1501	996	1421	1837	2637	3019	2706	2486
1700109I08Rik	0	1	1	4	0	0	0	1	1	1	0	2	0
1700109K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700110C19Rik	6	25	10	11	8	16	9	21	14	32	65	46	23
1700110I01Rik	0	1	0	0	0	0	0	0	0	0	1	0	0
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700110K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700111E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700111N16Rik	1	2	8	9	3	5	0	5	5	9	2	12	7
1700112D23Rik	7	7	4	2	2	0	0	0	7	2	7	10	9
1700112H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112J05Rik	2	9	1	4	7	0	2	1	2	3	7	2	0
1700112J16Rik	11	8	7	23	10	9	10	12	6	21	10	5	7
1700112K13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112L15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700113A16Rik	86	303	270	164	253	231	104	396	306	277	554	472	302
1700113B19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700113H08Rik	0	4	3	1	4	4	3	2	2	2	4	4	4
1700116B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700119H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700119I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700120B22Rik	4	6	3	10	9	5	3	6	3	2	9	11	5
1700120C14Rik	46	50	47	47	45	35	32	56	56	88	133	110	79
1700120C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700120E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700120G11Rik	9	10	2	16	0	10	19	10	6	23	7	7	17
1700120K04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700120O09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700121C08Rik	3	1	1	7	1	2	3	4	1	1	1	1	0
1700121L03Rik	0	0	0	1	1	0	0	1	0	1	3	0	2
1700121L16Rik	0	0	0	1	3	1	0	1	1	0	3	3	1
1700121N20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700122D07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700122E12Rik	17	31	19	21	9	19	23	36	11	26	18	11	21
1700122H20Rik	2	17	7	4	4	5	3	2	0	11	3	4	4
1700122O11Rik	1	6	3	0	2	2	3	9	2	1	12	5	3
1700123J17Rik	3	0	2	11	4	0	4	4	1	19	6	0	14
1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123M08Rik	113	254	147	253	243	193	141	249	233	307	573	453	420
1700123O12Rik	4	15	6	12	28	6	2	14	4	8	26	8	4
1700123O20Rik	639	993	721	980	529	713	891	1061	594	1158	997	656	805
1700123O21Rik	0	0	0	1	1	0	0	0	0	1	0	0	1
1700124L16Rik	6	3	6	8	7	4	8	8	5	25	11	15	11
1700125G02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700125G22Rik	1	2	1	0	1	4	2	4	0	6	2	0	12
1700125H03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700125H20Rik	0	9	3	2	5	5	8	5	4	6	8	2	0
1700126A01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700126G02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1700126H18Rik	1	0	0	0	0	0	2	0	0	1	0	0	0
1700128A07Rik	1	0	1	4	2	1	2	2	1	16	3	3	6
1700128E19Rik	1	0	0	0	0	0	0	0	0	1	1	0	0
1700128F08Rik	0	1	0	2	1	0	1	0	1	2	3	1	2
1700129C05Rik	0	0	0	0	1	1	0	0	0	2	0	0	0
1700129L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810006J02Rik	0	63	10	8	196	49	0	94	34	1	170	34	2
1810007C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810007D17Rik	1	0	0	0	2	0	0	0	0	0	0	0	0
1810008B01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810008I18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009J06Rik	0	0	0	2	0	0	0	0	0	0	0	0	0
1810010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	48	68	30	38	41	59	47	46	50	83	77	59	40
1810010K12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011H11Rik	10	1	3	35	0	7	7	2	18	3	4	0	1
1810011O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810012K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810012K16Rik	2	22	15	8	3	17	8	9	13	15	24	29	15
1810013D15Rik	2	1	1	8	0	0	5	0	0	2	1	1	2
1810013L24Rik	2783	5090	3715	6352	5217	4552	3692	4768	5272	7895	8955	6928	6067
1810014B01Rik	151	191	146	184	173	150	192	204	124	214	270	205	233
1810017P11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810018F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810019D21Rik	10	24	12	11	6	9	0	12	12	6	7	3	1
1810019N24Rik	56	81	113	62	99	89	53	110	96	193	231	272	167
1810020O05Rik	0	0	0	1	1	0	0	0	0	0	1	0	4
1810021B22Rik	4	11	12	0	9	3	5	9	8	8	24	16	8
1810022K09Rik	706	1256	911	1567	807	978	912	1458	898	1181	1143	925	1187
1810024B03Rik	130	366	196	300	287	148	145	290	177	253	519	464	269
1810026B05Rik	521	1506	1193	1542	1523	994	573	1501	1066	1462	1905	1320	831
1810030O07Rik	1479	2010	1540	2731	1267	1767	1707	1578	1525	3255	2462	2043	2718
1810032O08Rik	357	459	313	591	248	405	521	575	422	996	658	510	784
1810034E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810037I17Rik	2201	1419	1132	2360	632	1343	2681	1489	841	2435	894	662	2296
1810041H14Rik	30	70	63	64	40	75	35	72	73	41	56	59	38
1810041L15Rik	0	1	0	0	0	0	0	1	1	0	0	0	0
1810043G02Rik	231	240	319	233	160	179	227	260	223	544	333	266	306
1810044D09Rik	39	32	44	34	27	46	50	39	41	54	37	43	41
1810046K07Rik	1	2	1	0	5	3	0	5	0	10	17	3	6
1810049I09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810049J17Rik	0	1	0	1	0	0	1	2	0	0	0	0	0
1810053B23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810055G02Rik	508	148	181	510	82	222	553	176	209	917	124	136	604
1810058I24Rik	711	775	692	914	414	772	907	645	843	1423	896	942	1188
1810059C17Rik	1	3	1	2	4	4	3	1	1	5	5	3	4
1810059H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810062G17Rik	44	30	31	42	24	45	37	33	46	78	50	57	55
1810062O18Rik	23	113	73	52	115	64	21	73	98	57	251	214	51
1810063I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1810064F22Rik	0	0	0	2	1	3	0	0	0	0	1	0	1
1810065E05Rik	0	1	0	0	0	0	0	0	1	0	0	0	0
2010001A14Rik	88	196	152	86	120	147	92	176	153	148	423	347	208
2010001K21Rik	5	6	3	5	5	4	1	6	5	11	7	1	8
2010003K11Rik	7	0	0	5	0	0	9	0	0	2	0	0	5
2010005H15Rik	1	16	7	3	16	20	4	11	31	15	22	24	5
2010007H06Rik	2	12	0	2	8	0	0	7	0	1	9	8	6
2010008C14Rik	108	110	115	112	59	154	122	118	126	179	199	151	112
2010009K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2010010A06Rik	7	54	30	26	36	26	7	59	35	26	48	33	12
2010013B24Rik	11	39	17	7	23	16	6	57	24	6	16	0	6
2010015M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2010016I18Rik	34	185	191	70	139	129	39	108	173	208	531	600	233
2010103J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2010106C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2010106E10Rik	0	1	1	0	0	1	0	0	3	2	0	1	2
2010107E04Rik	1501	3066	1871	2403	1216	2073	2009	3357	1592	2111	1654	1260	2175
2010107G23Rik	3	1	1	6	0	0	9	0	1	5	7	1	9
2010109A12Rik	46	55	67	114	72	65	66	78	88	95	197	141	85
2010109I03Rik	15	13	13	23	15	28	23	14	30	34	34	65	56
2010109P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2010110E17Rik	4	3	5	2	5	14	2	4	9	1	2	0	0
2010110G14Rik	17	8	9	18	15	11	20	10	13	33	6	5	24
2010110K18Rik	84	10	10	124	14	43	72	13	28	174	29	17	183
2010111I01Rik	4912	4901	5089	11145	5029	4499	6273	3801	5653	16411	9160	8868	13293
2010204K13Rik	79	111	82	94	93	48	104	93	92	172	189	193	131
2010300C02Rik	67	84	60	79	53	141	77	86	147	56	82	70	64
2010300F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2010308F09Rik	6	18	12	17	4	8	10	17	5	30	15	15	20
2010309G21Rik	0	2	2	3	4	1	0	1	1	2	3	3	2
2010310C07Rik	6	79	27	18	72	30	8	44	47	11	89	66	20
2010315B03Rik	650	796	733	1658	1107	680	597	702	986	1953	1910	2061	2475
2010320M18Rik	102	122	120	125	49	77	145	164	75	161	113	88	116
2010320O07Rik	1	1	1	5	3	1	1	1	3	7	3	2	3
2200002A13Rik	1	6	4	7	2	1	3	10	4	0	3	4	2
2200002D01Rik	17	28	31	17	3	26	10	25	26	35	44	33	29
2200002J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2200007N16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210008F06Rik	27	2	2	29	1	2	15	5	7	31	9	5	21
2210010C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210011C24Rik	25	5	2	14	4	13	41	3	12	25	4	4	18
2210011K15Rik	0	2	1	0	1	0	0	1	0	0	5	2	0
2210013O21Rik	101	450	226	241	445	253	151	374	274	396	810	605	459
2210016F16Rik	1258	1312	717	1173	568	824	1518	1307	788	1682	1027	689	1379
2210016L21Rik	748	834	620	706	367	654	887	706	544	1147	847	702	995
2210017I01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210406H18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210406O10Rik	15	31	19	32	31	17	30	25	21	33	82	45	39
2210407C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408F21Rik	55	65	13	147	175	47	84	93	29	300	108	17	244
2210408I21Rik	314	382	213	1199	670	291	504	360	282	1385	729	554	1012
2210409E12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210411M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210412B16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2210414B05Rik	0	1	4	2	2	0	0	0	1	0	0	1	1
2210417A02Rik	4	0	1	3	0	1	0	0	4	10	1	0	7
2210418O10Rik	2	0	0	9	4	4	3	3	1	2	5	2	2
2210420H20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	35	108	57	123	110	66	72	100	85	97	204	199	136
2310001H17Rik	1279	1486	2255	2077	993	2008	1267	1655	2354	2637	1496	2731	3600
2310001K20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310001K24Rik	1	0	1	1	0	1	0	4	0	0	1	1	0
2310002F09Rik	34	227	160	59	225	169	28	199	239	146	705	638	217
2310002L09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310005E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310007B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310008N11Rik	2	2	2	6	2	0	2	4	4	19	1	4	2
2310009A05Rik	94	246	155	151	140	157	130	242	152	134	190	232	187
2310009B15Rik	131	174	116	121	91	153	170	211	131	184	236	161	168
2310010J17Rik	90	278	256	199	188	284	178	379	258	177	263	180	145
2310011J03Rik	1081	860	689	1013	356	819	1369	976	859	1453	829	752	1036
2310014F06Rik	1	0	0	3	1	0	0	0	1	3	0	1	0
2310015A10Rik	230	434	689	368	338	646	280	486	1040	688	1274	2261	1127
2310015D24Rik	0	10	1	0	4	6	1	3	2	2	3	3	4
2310015K22Rik	0	0	0	0	0	2	0	0	0	0	0	0	0
2310016D03Rik	0	1	0	0	1	1	1	2	0	2	0	1	1
2310016D23Rik	97	61	82	290	89	74	119	54	56	392	60	55	220
2310016G11Rik	1	0	0	0	0	0	0	0	0	0	0	0	0
2310020H05Rik	0	0	0	0	0	0	0	1	0	0	0	0	0
2310022A10Rik	1335	740	663	1513	424	843	1826	727	706	3096	1354	1022	2390
2310022B05Rik	564	348	462	422	157	455	579	314	442	709	456	408	552
2310026I22Rik	54	7	23	61	14	15	49	22	30	110	13	7	61
2310026L22Rik	14	30	14	26	18	14	12	25	21	21	44	23	14
2310030A07Rik	0	0	2	0	5	2	0	2	0	0	5	2	1
2310030G06Rik	0	0	0	0	0	0	0	0	0	1	0	0	0
2310031A07Rik	50	39	39	82	35	41	43	40	36	130	30	24	101
2310033P09Rik	335	370	321	459	200	356	463	397	322	693	485	419	511
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310034O05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310035C23Rik	2244	4769	3828	6497	6315	3762	2827	3848	3970	7284	7942	6700	5713
2310039H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310039L15Rik	5	1	1	4	0	0	3	2	8	9	3	3	2
2310040G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310040G24Rik	12	8	3	20	5	12	12	15	3	12	15	9	19
2310043L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310043M15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310043O21Rik	11	62	20	37	71	40	37	45	57	49	145	121	112
2310043P16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310044K18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310047D07Rik	0	3	3	2	4	1	0	1	9	1	6	11	3
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	2	2	2	2	0	0	0	0	0	3	5	2	1
2310057M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310058D17Rik	81	169	156	154	171	128	114	195	171	188	616	629	393
2310061I04Rik	423	439	323	433	225	404	527	416	271	877	693	561	768
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310065F04Rik	0	1	0	1	0	0	0	0	0	0	0	0	0
2310068J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310069B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310069G16Rik	1	1	0	0	0	1	0	0	0	2	0	1	2
2310074N15Rik	2	3	1	4	0	0	2	2	0	2	5	2	4
2310075C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2310081O03Rik	2	5	12	1	6	5	1	16	11	5	4	1	0
2400006E01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2410003L11Rik	2	14	5	8	13	4	1	8	6	88	20	19	19
2410004B18Rik	393	516	390	616	376	410	516	536	366	714	766	538	600
2410004I01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
2410004P03Rik	104	27	13	80	6	19	142	19	19	181	9	4	121
2410006H16Rik	1806	2269	3057	1888	1110	2632	2372	2664	2652	3900	1761	2105	3007
2410012E07Rik	1	1	0	1	0	0	0	0	0	0	0	0	2
2410015M20Rik	1016	1987	1244	1143	717	1323	1266	1918	1066	1365	999	855	1284
2410017I17Rik	3	14	4	1	17	4	1	15	7	2	24	12	2
